timeline,Mitsubishi Electric
30 Sep 2009,$16.29B
30 Oct 2009,$16.84B
30 Nov 2009,$15.18B
31 Dec 2009,$15.81B
29 Jan 2010,$16.79B
26 Feb 2010,$17.61B
31 Mar 2010,$19.85B
30 Apr 2010,$19.22B
31 May 2010,$17.61B
30 Jun 2010,$16.94B
30 Jul 2010,$18.63B
31 Aug 2010,$17B
30 Sep 2010,$18.39B
29 Oct 2010,$19.82B
30 Nov 2010,$21.11B
31 Dec 2010,$22.43B
31 Jan 2011,$23.65B
28 Feb 2011,$25.41B
31 Mar 2011,$25.34B
29 Apr 2011,$23.45B
31 May 2011,$24.28B
30 Jun 2011,$24.74B
29 Jul 2011,$25.04B
31 Aug 2011,$21.21B
30 Sep 2011,$19.44B
31 Oct 2011,$20.83B
30 Nov 2011,$19.6B
30 Dec 2011,$20.39B
31 Jan 2012,$19.22B
29 Feb 2012,$19.44B
30 Mar 2012,$19.09B
30 Apr 2012,$18.88B
31 May 2012,$16.76B
29 Jun 2012,$17.85B
31 Jul 2012,$17.18B
31 Aug 2012,$17.38B
28 Sep 2012,$15.93B
31 Oct 2012,$16.06B
30 Nov 2012,$16.77B
31 Dec 2012,$18.25B
31 Jan 2013,$17.84B
28 Feb 2013,$17.55B
29 Mar 2013,$17.26B
30 Apr 2013,$20.36B
31 May 2013,$20.74B
28 Jun 2013,$20.25B
31 Jul 2013,$20.87B
30 Aug 2013,$21.42B
30 Sep 2013,$22.6B
31 Oct 2013,$23.42B
29 Nov 2013,$24.81B
31 Dec 2013,$27.01B
31 Jan 2014,$24.61B
28 Feb 2014,$25.33B
31 Mar 2014,$24.24B
30 Apr 2014,$24.34B
30 May 2014,$24.92B
30 Jun 2014,$26.46B
31 Jul 2014,$28.71B
29 Aug 2014,$26.95B
30 Sep 2014,$28.66B
31 Oct 2014,$27.45B
28 Nov 2014,$25.99B
31 Dec 2014,$25.98B
30 Jan 2015,$24.99B
27 Feb 2015,$25.19B
31 Mar 2015,$25.55B
30 Apr 2015,$28.22B
29 May 2015,$29.56B
30 Jun 2015,$27.68B
31 Jul 2015,$23.07B
31 Aug 2015,$21.45B
30 Sep 2015,$19.52B
30 Oct 2015,$22.53B
30 Nov 2015,$23.82B
31 Dec 2015,$22.85B
29 Jan 2016,$19.85B
29 Feb 2016,$21.59B
31 Mar 2016,$22.53B
29 Apr 2016,$23.79B
31 May 2016,$25.94B
30 Jun 2016,$25.22B
29 Jul 2016,$24.93B
31 Aug 2016,$28.17B
30 Sep 2016,$27.19B
31 Oct 2016,$29.19B
30 Nov 2016,$30.07B
31 Jan 2017,$32.5B
28 Feb 2017,$31.35B
31 Mar 2017,$30.65B
28 Apr 2017,$29.98B
31 May 2017,$29.56B
30 Jun 2017,$30.94B
31 Jul 2017,$33.22B
31 Aug 2017,$31.59B
29 Sep 2017,$33.53B
31 Oct 2017,$36.67B
30 Nov 2017,$35.48B
29 Dec 2017,$35.57B
31 Jan 2018,$39.31B
28 Feb 2018,$36.28B
30 Mar 2018,$34.28B
30 Apr 2018,$33.07B
31 May 2018,$30.49B
29 Jun 2018,$28.63B
31 Jul 2018,$29.22B
31 Aug 2018,$28.99B
28 Sep 2018,$29.45B
31 Oct 2018,$27.2B
30 Nov 2018,$28.34B
31 Dec 2018,$23.65B
31 Jan 2019,$26.88B
28 Feb 2019,$26.98B
29 Mar 2019,$27.58B
30 Apr 2019,$30.38B
31 May 2019,$26.68B
28 Jun 2019,$28.24B
31 Jul 2019,$28.3B
30 Aug 2019,$25.86B
30 Sep 2019,$28.46B
31 Oct 2019,$30.68B
29 Nov 2019,$29.6B
31 Dec 2019,$29.52B
31 Jan 2020,$30.43B
28 Feb 2020,$26.81B
31 Mar 2020,$26.5B
30 Apr 2020,$26.97B
29 May 2020,$28.26B
30 Jun 2020,$27.9B
9 Jul 2020,$27.86B
23 Jul 2020,$28B
31 Jul 2020,$28.08B
4 Aug 2020,$28.59B
12 Aug 2020,$29.21B
19 Aug 2020,$29.4B
25 Aug 2020,$29.54B
2 Sep 2020,$29.67B
9 Sep 2020,$29.48B
17 Sep 2020,$29.9B
24 Sep 2020,$29.28B
30 Sep 2020,$28.86B
8 Oct 2020,$29.23B
15 Oct 2020,$28.18B
22 Oct 2020,$27.68B
28 Oct 2020,$28.14B
30 Oct 2020,$27.49B
13 Nov 2020,$28.42B
20 Nov 2020,$30.66B
25 Nov 2020,$31.82B
3 Dec 2020,$32.23B
4 Dec 2020,$32.03B
11 Dec 2020,$30.76B
31 Dec 2020,$32.39B
8 Jan 2021,$33.87B
22 Jan 2021,$33.85B
29 Jan 2021,$32.79B
5 Feb 2021,$33.69B
12 Feb 2021,$34.78B
19 Feb 2021,$32.54B
26 Feb 2021,$31.62B
3 Mar 2021,$32.38B
17 Mar 2021,$33.95B
23 Mar 2021,$33.74B
1 Apr 2021,$32.48B
9 Apr 2021,$32.65B
21 Apr 2021,$31.7B
30 Apr 2021,$33.13B
5 May 2021,$33B
11 May 2021,$33.17B
21 May 2021,$33.04B
31 May 2021,$33.02B
4 Jun 2021,$35.05B
11 Jun 2021,$34.14B
30 Jun 2021,$31.29B
12 Jul 2021,$28.89B
16 Jul 2021,$29.2B
22 Jul 2021,$28.75B
30 Jul 2021,$28.96B
6 Aug 2021,$29.86B
13 Aug 2021,$29.87B
20 Aug 2021,$28.67B
27 Aug 2021,$28.65B
3 Sep 2021,$29.31B
10 Sep 2021,$30.26B
17 Sep 2021,$31.06B
24 Sep 2021,$30.67B
2 Oct 2021,$30.45B
9 Oct 2021,$29.25B
16 Oct 2021,$29.58B
23 Oct 2021,$29.48B
30 Oct 2021,$28.82B
6 Nov 2021,$28.84B
20 Nov 2021,$29.2B
27 Nov 2021,$27.45B
4 Dec 2021,$27.89B
9 Dec 2021,$27.49B
